acpi 1.7-3
alacritty 0.5.0-1
alsa-firmware 1.2.1-2
alsa-utils 1.2.3-2
android-backup-extractor-git r77.2b3af20-1
android-tools 30.0.0-2
arandr 0.1.10-4
arc-gtk-theme 20200513-1
archiso 46-1
arcolinux-arc-themes-nico-git 20.4-1
arcolinux-bin-git 20.7-7
arcolinux-common-git 19.3-2
arcolinux-config-openbox-git 20.4-1
arcolinux-conky-collection-git 20.1-2
arcolinux-cron-git 19.12-5
arcolinux-docs-git 19.3-1
arcolinux-fonts-git 19.7-3
arcolinux-geany-git 19.7-1
arcolinux-grub-theme-vimix-git 20200527-3
arcolinux-hblock-git 2.1.6-9
arcolinux-keyring 20230105-1
arcolinux-kvantum-git 20.5-1
arcolinux-lightdm-gtk-greeter 1:2.0.6-1
arcolinux-lightdm-gtk-greeter-settings 1.2.2-4
arcolinux-local-applications-git 20.6-2
arcolinux-local-xfce4-git 19.11-4
arcolinux-mirrorlist-git 20.3-1
arcolinux-neofetch-git 20.4-3
arcolinux-nitrogen-git 20.2-2
arcolinux-oblogout 0.2-20
arcolinux-oblogout-themes-git 19.12-1
arcolinux-obmenu-generator-minimal-git 20.5-1
arcolinux-openbox-dconf-git 19.12-7
arcolinux-openbox-git 20.6-1
arcolinux-openbox-themes-git 19.3-1
arcolinux-pipemenus-git 19.12-3
arcolinux-polybar-git 20.7-2
arcolinux-qt5-git 19.3-4
arcolinux-rofi-git 19.3-1
arcolinux-rofi-themes-git 19.3-1
arcolinux-root-git 20.7-4
arcolinux-slim 1.3.6-8
arcolinux-slimlock-themes-git 19.3-1
arcolinux-system-config-git 20.9-1
arcolinux-systemd-services-git 20.7-9
arcolinux-termite-themes-git 20.4-1
arcolinux-tint2-git 19.12-2
arcolinux-tint2-themes-git 19.12-2
arcolinux-variety-git 20.7-1
arcolinux-wallpapers-git 20.7-4
arcolinux-welcome-app-git 20.6-4
arcolinux-xfce-git 20.5-8
arcolinux-zsh-git 20.7-3
aria2 1.35.0-2
asciinema 2.0.2-3
aspell-en 2019.10.06-1
awesome-terminal-fonts 1.1.0-3
base 2-2
bat 0.15.4-1
bison 3.6.4-1
blueman 2.1.3-1
bookworm 1.1.2-2
breeze 5.19.4-1
broadcom-wl 6.30.223.271-215
clonezilla 3.35.2-2
cmake 3.18.1-1
conky-lua-archers 1.11.3-2
cups-pdf 3.0.1-5
darkhttpd 1.12-6
dconf-editor 3.36.4-1
ddrescue 1.25-1
dmg2dir 3.1.1-2
docky 2.2.1.1-4
downgrade 8.1.0-1
dropbox 102.4.431-1
efitools 1.9.2-3
electron 9.1.2-1
electronplayer 2.0.8-2
emacs-org-mode 9.3.6-1
emacs-w3m-git r5933.e522a44b-1
exa 0.9.0-2
expac 10-2
figlet 2.2.5-4
filebrowser-bin 2.6.1-1
firefox 79.0-1
flashplugin 32.0.0.403-1
flex 2.6.4-3
fsarchiver 0.8.5-2
geany 1.36-2
gmrun 0.9.5w-2
gnome-disk-utility 3.36.3-1
gnu-netcat 0.7.1-8
gparted 1.1.0-1
gpick 0.2.6rc1-7
gutenprint 5.3.3-2
hardcode-fixer-git 1:r539.f812186-1
hardinfo 0.5.1.816.g877ea2b-2
haveged 1.9.13-1
htop 2.2.0-3
iio-sensor-proxy 3.0-1
intltool 0.51.0-6
